과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
인문 고전의 이해,조국,인문융합예술대학,핵심전공,2영역,"[0, 0, 3]","[0, 0, 0, 1, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 0, 1, 0, 0.2, 0.5, 0.5, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
초급프랑스어 1,홍용철,프랑스어문·문화학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
초급프랑스어 1,이채영,프랑스어문·문화학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
프랑스어 발음연습,신티아 로랭,프랑스어문·문화학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
프랑스 문화와 명작산책,이채영,프랑스어문·문화학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0.5,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 0.8]",
예술경영학,박주연,문화예술경영학과,핵심전공,1영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
문화예술감상과 이해,이혜진,문화예술경영학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 1.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
문화예술감상과 이해,강지은,문화예술경영학과,핵심전공,1영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
프랑스어회화 A2,신티아 로랭,프랑스어문·문화학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.0, 0.5, 1.0]",
중급프랑스어 1,홍용철,프랑스어문·문화학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
프랑스 공연예술,김혜중,프랑스어문·문화학과,핵심전공,2영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
단편영화 프로덕션 1,임찬상,미디어영상연기학과,핵심전공,2영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
